[-3.22477593  2.8401437   2.60820583 -3.76379566 -6.12444003 -3.46035249
  1.80644194 -2.14167863  1.96722085  6.48982008  6.05230288  3.14068526
  2.70057508  0.16673695  2.31516673 -5.27672323 -2.85663996  3.63494674
 -5.17570511  3.44635153 -1.43160562 -6.32857179  6.43261678  0.96269598
  5.61594682 -0.86435251 -1.81519272 -0.60928847  3.73374609 -4.57948886
  2.58421157  4.54522571 -1.68775798  6.01450378 -5.5374385   6.56907276
  4.18699491  4.2011499   4.75935278  5.66380098 -2.54574255  4.50341282
  1.11244518 -0.05519162  4.57699271  3.17960376 -3.24407572 -5.73397528
  5.1142253  -0.62749463  3.02110465  4.25036951  0.07233481  3.02750529
 -5.03020123  3.29054147 -0.23454507 -3.4679489  -3.1741033  -0.98464067
  4.80984685  1.1091117  -6.85555218 -7.11594183  3.30967374 -3.15698025
 -5.02643563  5.87742722 -3.38273205  1.12896171 -6.48818705 -0.14724461
 -2.34782992 -0.0334749  -6.80301622  3.20566136 -1.7938981  -4.00544187
  3.7759272   1.25819215  3.08354024  1.45067128  6.81761964 -4.57790383
  1.4155121  -6.01928873 -4.90781346  2.62061262 -3.14868936 -3.58790049
 -1.79688938 -0.94207267  5.73646527 -0.57832247  1.47142937 -0.71409406]
